RATING,TITLE,CREDIT,BOX OFFICE,YEAR
77,Atomic Blonde,Lorraine Broughton  Producer,51.6,2017
66,The Fate of the Furious,Cipher,225.7,2017
97,Kubo and the Two Strings,Monkey,48.1,2016
17,The Huntsman: Winter's War,Ravenna,46.5,2016
97,Mad Max: Fury Road,Imperator Furiosa,129.5,2015
33,A Million Ways to Die in the West,Anna,37.4,2014
73,Prometheus,Meredith Vickers,126.5,2012
48,Snow White and the Huntsman,Ravenna,155.1,2012
81,Young Adult,Mavis Gary,16.3,2011
73,The Road,Wife,8.1,2009
50,Astro Boy (AstroBoy),"""Our Friends"" Narrator",19.6,2009
41,Hancock,Mary Embrey,228,2008
73,In the Valley of Elah,Det. Emily Sanders,6.6,2007
9,Aeon Flux,Aeon Flux,25.9,2005
69,North Country,Josey Aimes,18.4,2005
81,Monster,Aileen Wuornos  Producer,34.2,2004
73,The Italian Job,Stella Bridger,106,2003
18,Trapped,Karen,7,2002
45,The Curse of the Jade Scorpion,Laura,6.8,2001
33,15 Minutes,Rose Hearn,24.2,2001
15,Sweet November,Sara Deever,24.5,2001
43,The Legend of Bagger Vance,Adele,30.4,2000
